wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q100351071,Rafael José Sabonge Vilar,Rafael Sabonge,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628313,Ministerio de Obras Públicas,2019-07-01,Q100351071-BBC9C751-D466-4029-94E5-A75CB53E6365
Q105724712,Erika Mouynes,Erika Mouynes,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q64482042,Ministerio de Relaciones Exteriores,2020-12-02,Q105724712-9975AD0D-33F0-48BC-9727-7FFDA8791E30
Q110628727,Doris Zapata Acevedo,Doris Zapata,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628373,Ministerio de Trabajo y Desarrollo Laboral,2019-07-01,Q110628727-87D53943-6B2B-46ED-BDBC-22D85918EE5D
Q110628731,Ramón Martínez,Ramón Martínez de la Guardia,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q64481998,Ministerio de Comercio e Industria,2019-07-01,Q110628731-0BF6351E-5F35-4995-83C9-AA16F697D2BB
Q110628751,Rogelio Enrique Paredes Robles,Rogelio Paredes,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628253,Ministerio de Vivienda y Ordenamiento Territorial,2020-06-24,Q110628751-8ED8CBEA-DFD7-4359-8E82-0327CE3FD01E
Q110628764,Augusto Valderrama,Augusto Valderrama,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628354,Ministerio de Desarrollo Agropecuario,2019-07-01,Q110628764-7B580967-15D1-4E33-A85F-65C972D3B484
Q110628773,María Inés Castillo,María Inés Castillo,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628381,Ministerio de Desarrollo Social,2020-06-24,Q110628773-914667E3-6808-4305-B05E-51E3D3058E9F
Q110628776,Héctor Alexander,Héctor Alexander,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628225,Ministerio de Economía y Finanzas,2019-07-01,Q110628776-115796A6-5B87-48B1-8E17-B7E958E0BF7B
Q110628794,Juan Pino,Juan Pino,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628350,Ministerio de Seguridad Pública,2020-02-05,Q110628794-9C30A3FE-ED82-4407-A7B3-63F0092DE7E1
Q110628812,Carlos Aguilar,Carlos Aguilar,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628815,Ministerio de Cultura,2019-07-01,Q110628812-638588C0-449F-4B22-9B89-A6E11DE2C01B
Q63633749,José Gabriel Carrizo Jaén,José Gabriel Carrizo,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628286,Ministerio de la Presidencia,2019-07-01,Q63633749-7F257BF9-948B-4E1D-934E-BFD4853149D8
Q64374205,Maruja Gorday de Villalobos,Maruja Gorday de Villalobos,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110445464,Ministerio de Educación,2019-07-01,Q64374205-B349ECF6-DD66-48A0-8F0F-01775EB37621
Q665630,Aristides Royo,Arístides Royo,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628237,Ministerio para Asuntos del Canal de Panamá,2019-07-01,Q665630-3D8EF291-9F0C-4C87-BA25-16149537A1AF
Q95807201,Luis Francisco Sucre M.,Luis Francisco Sucre,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628364,Ministerio de Salud,2020-06-01,Q95807201-0db01fe5-477e-4e2f-0b01-7fc1b9ede090
Q96066480,Milciades Concepción,Milciades Concepción,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110628491,Ministerio de Ambiente,2019-07-01,Q96066480-6fbb3955-431a-a09d-1791-58bce908a0ff
Q96182040,Janaina Tewaney Mencomo,Janaina Tewaney,https://www.presidencia.gob.pa/Ministros,2022-01-20,Q110445000,Ministerio de Gobierno,2020-02-06,Q96182040-e6bd4980-432b-8394-6ed6-d2853a06cb0a
