@@,itemlabel,item,startdate,enddate
+++,Ricardo Arias Espinosa,Q176091,1956-10-01,1957-09-30
+++,Diógenes A. Pino,,1957-10-01,1958-09-30
+++,Eligio Crespo Villalaz,,1958-10-01,1959-09-30
+++,Pablo Othon Valdelamar,,1959-10-01,1960-09-30
+++,Jacinto López y León,,1960-10-01,1961-09-30
+++,Abraham Pretto Stevenson,,1961-10-01,1962-09-30
+++,Jorge Rubén Rosas,,1962-10-01,1963-09-30
+++,Ricardo A. Arango,,1963-10-01,1964-09-30
+++,Alfredo Ramírez,,1964-10-01,1965-09-30
+++,Raúl Arango Jr.,,1965-10-01,1967-09-30
+++,Carlos Agustín Arias Chiari,,1967-10-01,1968-09-30
+++,Jacobo Salas,,1968-10-01,1968-10-11
+++,Elías Castillo,,1972-10-11,1973-10-10
+++,Carlos A. Espino,,1973-10-11,1974-10-10
+++,Raúl Enrique Chang,,1974-10-11,1975-10-10
+++,Dario González Pittí,,1975-10-11,1976-10-10
+++,Fernando A. González,,1976-10-11,1977-10-10
+++,José Octavio Huerta,,1977-10-11,1978-10-10
+++,Víctor Corrales,,1978-10-11,1979-10-10
+++,Blas Joaquín Celis,,1979-10-11,1980-10-10
+++,Luis De León Arias,,1980-10-11,1982-10-10
+++,Lorenzo Sotero Alfonso Gobea,,1982-10-11,1984-11-15
+++,Jerry Wilson,,1984-11-16,1985-08-31
+++,Camilo Gozaine,,1985-09-01,1986-08-31
+++,Ovidio Díaz,,1986-09-01,1987-08-31
+++,Alberto Alemán Boyd,,1987-09-01,1988-08-31
+++,Celso Carrizo,,1988-09-01,1989-08-31
+++,Carlos Arellano Lennox,,1990-03-01,1990-08-31
+++,Alonso Fernández Guardia,,1990-09-01,1991-08-31
+++,Marco Ameglio,Q16147358,1991-09-01,1992-08-31
+++,Lucas Zarak,,1992-09-01,1993-08-31
+++,Arturo Vallarino,Q4801812,1993-09-01,1994-08-31
+++,Balbina Herrera,Q299639,1994-09-01,1995-08-31
+++,Carlos Alvarado Acosta,,1995-09-01,1996-08-31
+++,César Pardo,,1996-09-01,1997-08-31
+++,Gerardo González Vernaza,Q5550270,1997-09-01,1999-08-31
+++,Enrique Garrido,,1999-09-01,2000-08-31
+++,Carlos Alvarado Acosta,,2002-09-01,2003-08-31
+++,Jacobo Salas,,2003-09-01,2004-08-31
+++,Jerry Wilson,,2004-09-01,2005-08-31
+++,Elías Castillo,,2005-09-01,2007-08-31
+++,Raúl Rodríguez Araúz,,2008-09-01,2009-06-30
+++,José Luis Varela,,2009-07-01,2010-06-30
+++,José Muñoz Molina,,2010-07-01,2011-06-30
->,Q110628935->Héctor Aparicio,Q110628935->NULL,2011-07-01,2012-06-30
->,Q110628933->Sergio Gálvez,Q110628933->NULL,2012-07-01,2014-06-30
->,Adolfo Valderrama Sáenz de la Peña->Adolfo Valderrama,Q16942328,2014-07-01,2015-06-30
->,Rubén De León Sánchez->Rubén De León,Q22280279->NULL,2015-07-01,2017-06-30
->,Q110628929->Yanibel Ábrego,Q110628929->NULL,2017-07-01,2019-06-30
->,Q110628931->Marcos Castillero,Q110628931->NULL,2019-07-01,2021-07-01
->,Q110628932->Crispiano Adames,Q110628932->NULL,2021-07-01,
